Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dennis,2022-06-02 23:04:21,00:10:31,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:16:20,Not latest view,US (United States)
Dennis,2022-06-02 22:41:34,00:04:45,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:05:49,Not latest view,US (United States)
Dennis,2022-06-02 22:18:44,00:21:00,,Stranger Things: Stranger Things 4: Chapter Six: The Dive (Episode 6),,Chrome PC (Cadmium),01:10:13,01:10:13,US (United States)
Dennis,2022-06-02 19:50:16,00:17:55,,Stranger Things: Stranger Things 4: Chapter Six: The Dive (Episode 6),,Chrome PC (Cadmium),00:49:12,Not latest view,US (United States)
Dennis,2022-06-02 18:47:26,00:00:46,,Stranger Things: Stranger Things 4: Chapter Six: The Dive (Episode 6),,Chrome PC (Cadmium),00:27:35,Not latest view,US (United States)
Dennis,2022-06-02 04:32:14,00:18:26,,Stranger Things: Stranger Things 4: Chapter Six: The Dive (Episode 6),,Chrome PC (Cadmium),00:26:49,Not latest view,US (United States)
Dennis,2022-06-01 22:41:29,00:07:04,,Stranger Things: Stranger Things 4: Chapter Six: The Dive (Episode 6),,FireTV 4K Stick 2018,00:07:55,Not latest view,US (United States)
Dennis,2022-06-01 22:10:28,00:30:20,Autoplayed: user action: User_Interaction; ,Stranger Things: Stranger Things 4: Chapter Five: The Nina Project (Episode 5),,FireTV 4K Stick 2018,01:15:52,01:15:52,US (United States)
Dennis,2022-06-01 20:06:13,00:41:31,,Stranger Things: Stranger Things 4: Chapter Five: The Nina Project (Episode 5),,Chrome PC (Cadmium),00:41:39,Not latest view,US (United States)
Dennis,2022-06-01 19:02:23,00:53:17,,Stranger Things: Stranger Things 4: Chapter Four: Dear Billy (Episode 4),,Chrome PC (Cadmium),01:14:23,01:14:23,US (United States)
Dennis,2022-06-01 17:29:53,00:16:05,,Stranger Things: Stranger Things 4: Chapter Four: Dear Billy (Episode 4),,Chrome PC (Cadmium),00:16:42,Not latest view,US (United States)
Dennis,2022-06-01 05:48:37,00:59:03,,Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero (Episode 3),,FireTV 4K Stick 2018,00:59:49,00:59:49,US (United States)
Dennis,2022-06-01 05:43:16,00:00:04,,Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero (Episode 3),,FireTV 4K Stick 2018,00:00:08,Not latest view,US (United States)
Dennis,2022-06-01 04:31:19,01:11:50,Autoplayed: user action: User_Interaction; ,Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse (Episode 2),,FireTV 4K Stick 2018,01:12:37,01:12:37,US (United States)
Dennis,2022-06-01 03:48:06,00:00:11,,Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse (Episode 2),,Chrome PC (Cadmium),00:00:11,Not latest view,US (United States)
Dennis,2022-06-01 03:20:13,00:26:07,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Chrome PC (Cadmium),01:13:00,01:13:00,US (United States)
Dennis,2022-05-31 22:33:13,00:04:30,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Chrome PC (Cadmium),00:46:08,Not latest view,US (United States)
Dennis,2022-05-31 22:23:19,00:00:53,,Arrested Development: Season 3: Development Arrested (Episode 13),,Apple iPhone 13 Pro Max,00:00:53,Not latest view,US (United States)
Dennis,2022-05-31 22:17:04,00:06:14,,Arrested Development: Season 3: Exit Strategy (Episode 12),,Apple iPhone 13 Pro Max,00:21:30,00:21:30,US (United States)
Dennis,2022-05-31 19:39:15,00:27:55,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Chrome PC (Cadmium),00:41:38,Not latest view,US (United States)
Dennis,2022-05-31 19:29:43,00:07:36,,Arrested Development: Season 3: Exit Strategy (Episode 12),,Apple iPhone 13 Pro Max,00:15:15,Not latest view,US (United States)
Dennis,2022-05-31 19:28:37,00:01:02,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Apple iPhone 13 Pro Max,00:13:53,Not latest view,US (United States)
Dennis,2022-05-31 03:02:36,00:08:31,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Chrome PC (Cadmium),00:12:51,Not latest view,US (United States)
Dennis,2022-05-31 00:47:17,00:05:07,,Arrested Development: Season 3: Exit Strategy (Episode 12),,Apple iPhone 13 Pro Max,00:07:38,Not latest view,US (United States)
Dennis,2022-05-30 19:10:01,00:02:24,,Arrested Development: Season 3: Exit Strategy (Episode 12),,Apple iPhone 13 Pro Max,00:02:30,Not latest view,US (United States)
Dennis,2022-05-30 19:01:17,00:08:43,,Arrested Development: Season 3: Family Ties (Episode 11),,Apple iPhone 13 Pro Max,00:21:15,00:21:15,US (United States)
Dennis,2022-05-29 22:09:42,00:03:35,,Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club (Episode 1),,Chrome PC (Cadmium),00:03:35,Not latest view,US (United States)
Dennis,2022-05-29 22:08:53,00:00:40,,Recap: Stranger Things 3,RECAP,Chrome PC (Cadmium),00:00:40,00:00:40,US (United States)
Dennis,2022-05-29 22:03:54,00:04:36,,Arrested Development: Season 3: Family Ties (Episode 11),,Apple iPhone 13 Pro Max,00:12:31,Not latest view,US (United States)
Dennis,2022-05-29 18:59:33,00:07:49,,Arrested Development: Season 3: Family Ties (Episode 11),,Apple iPhone 13 Pro Max,00:07:54,Not latest view,US (United States)
Dennis,2022-05-29 18:56:09,00:03:23,,Arrested Development: Season 3: Fakin' It (Episode 10),,Apple iPhone 13 Pro Max,00:21:25,00:21:25,US (United States)
Dennis,2022-05-28 23:45:09,00:14:44,,"Love, Death & Robots: Volume 3: Jibaro (Episode 9)",,Chrome PC (Cadmium),00:16:20,00:16:20,US (United States)
Dennis,2022-05-28 03:39:08,00:03:25,,Arrested Development: Season 3: Fakin' It (Episode 10),,Apple iPhone 13 Pro Max,00:18:01,Not latest view,US (United States)
Dennis,2022-05-27 02:30:50,00:02:29,,Arrested Development: Season 3: Fakin' It (Episode 10),,Apple iPhone 13 Pro Max,00:14:35,Not latest view,US (United States)
Dennis,2022-05-26 21:58:45,00:11:48,,Arrested Development: Season 3: Fakin' It (Episode 10),,Apple iPhone 13 Pro Max,00:12:05,Not latest view,US (United States)
Dennis,2022-05-26 21:46:57,00:11:45,,Arrested Development: Season 3: S.O.B.s (Episode 9),,Apple iPhone 13 Pro Max,00:21:28,00:21:28,US (United States)
Dennis,2022-05-26 19:24:33,00:09:52,,Arrested Development: Season 3: S.O.B.s (Episode 9),,Apple iPhone 13 Pro Max,00:09:52,Not latest view,US (United States)
Dennis,2022-05-26 19:23:26,00:01:05,,Arrested Development: Season 3: Making a Stand (Episode 8),,Apple iPhone 13 Pro Max,00:21:32,00:21:32,US (United States)
Dennis,2022-05-25 06:17:14,00:05:35,,Arrested Development: Season 3: Making a Stand (Episode 8),,Apple iPhone 13 Pro Max,00:20:17,Not latest view,US (United States)
Dennis,2022-05-22 22:46:29,00:02:28,,Arrested Development: Season 3: Making a Stand (Episode 8),,Chrome PC (Cadmium),00:14:42,Not latest view,US (United States)
Dennis,2022-05-22 22:36:07,00:08:43,,Arrested Development: Season 3: Making a Stand (Episode 8),,Apple iPhone 13 Pro Max,00:12:14,Not latest view,US (United States)
Dennis,2022-05-22 22:31:09,00:02:35,,Arrested Development: Season 3: Making a Stand (Episode 8),,Apple iPhone 13 Pro Max,00:03:30,Not latest view,US (United States)
Dennis,2022-05-21 19:23:05,00:00:36,,Arrested Development: Season 3: Making a Stand (Episode 8),,Apple iPhone 13 Pro Max,00:00:54,Not latest view,US (United States)
Dennis,2022-05-21 19:12:34,00:10:30,,Arrested Development: Season 3: Prison Break-In (Episode 7),,Apple iPhone 13 Pro Max,00:21:32,00:21:32,US (United States)
Dennis,2022-05-20 23:09:43,00:05:19,,Arrested Development: Season 3: Prison Break-In (Episode 7),,Apple iPhone 13 Pro Max,00:11:01,Not latest view,US (United States)
Dennis,2022-05-20 19:08:10,00:05:23,,Arrested Development: Season 3: Prison Break-In (Episode 7),,Apple iPhone 13 Pro Max,00:05:41,Not latest view,US (United States)
Dennis,2022-05-20 19:04:31,00:03:35,,Arrested Development: Season 3: The Ocean Walker (Episode 6),,Apple iPhone 13 Pro Max,00:22:02,00:22:02,US (United States)
Dennis,2022-05-20 15:19:50,00:05:23,,Arrested Development: Season 3: The Ocean Walker (Episode 6),,Apple iPhone 13 Pro Max,00:18:27,Not latest view,US (United States)
Dennis,2022-05-19 23:42:36,00:12:57,,Arrested Development: Season 3: The Ocean Walker (Episode 6),,Apple iPhone 13 Pro Max,00:13:03,Not latest view,US (United States)
Dennis,2022-05-19 05:35:02,00:04:29,,Blade Runner 2049,,Chrome PC (Cadmium),00:04:38,Not latest view,US (United States)
Dennis,2022-05-19 05:35:02,00:04:18,,Blade Runner 2049,,Chrome PC (Cadmium),00:04:27,Not latest view,US (United States)
Dennis,2022-05-18 19:01:57,00:12:33,,Arrested Development: Season 3: Mr. F (Episode 5),,Apple iPhone 13 Pro Max,00:21:23,00:21:23,US (United States)
Dennis,2022-05-17 22:45:35,00:08:07,,Arrested Development: Season 3: Mr. F (Episode 5),,Apple iPhone 13 Pro Max,00:08:50,Not latest view,US (United States)
Dennis,2022-05-17 22:43:05,00:02:29,,Arrested Development: Season 3: Notapusy (Episode 4),,Apple iPhone 13 Pro Max,00:21:29,00:21:29,US (United States)
Dennis,2022-05-17 19:22:52,00:05:32,,Arrested Development: Season 3: Notapusy (Episode 4),,Apple iPhone 13 Pro Max,00:18:59,Not latest view,US (United States)
Dennis,2022-05-17 19:16:40,00:04:18,,Arrested Development: Season 3: Notapusy (Episode 4),,Apple iPhone 13 Pro Max,00:13:27,Not latest view,US (United States)
Dennis,2022-05-17 02:52:50,00:08:51,,Arrested Development: Season 3: Notapusy (Episode 4),,Apple iPhone 13 Pro Max,00:09:09,Not latest view,US (United States)
Dennis,2022-05-17 02:31:38,00:21:10,,Arrested Development: Season 3: Forget Me Now (Episode 3),,Apple iPhone 13 Pro Max,00:21:29,00:21:29,US (United States)
Dennis,2022-05-17 02:29:09,00:02:28,,Arrested Development: Season 3: For British Eyes Only (Episode 2),,Apple iPhone 13 Pro Max,00:21:32,00:21:32,US (United States)
Dennis,2022-05-17 00:31:59,00:01:10,,Arrested Development: Season 3: For British Eyes Only (Episode 2),,Apple iPhone 13 Pro Max,00:19:03,Not latest view,US (United States)
Dennis,2022-05-16 22:52:17,00:03:42,,Arrested Development: Season 3: For British Eyes Only (Episode 2),,Apple iPhone 13 Pro Max,00:17:52,Not latest view,US (United States)
Dennis,2022-05-16 22:22:21,00:13:12,,Arrested Development: Season 3: For British Eyes Only (Episode 2),,Apple iPhone 13 Pro Max,00:14:09,Not latest view,US (United States)
Dennis,2022-05-16 22:15:01,00:00:56,,Arrested Development: Season 3: For British Eyes Only (Episode 2),,Apple iPhone 13 Pro Max,00:00:56,Not latest view,US (United States)
Dennis,2022-05-16 22:05:15,00:09:45,,Arrested Development: Season 3: The Cabin Show (Episode 1),,Apple iPhone 13 Pro Max,00:21:26,00:21:26,US (United States)
Dennis,2022-05-16 19:13:54,00:11:22,,Arrested Development: Season 3: The Cabin Show (Episode 1),,Apple iPhone 13 Pro Max,00:11:40,Not latest view,US (United States)
Dennis,2022-05-16 15:22:56,00:03:27,,Arrested Development: Season 2: The Righteous Brothers (Episode 18),,Apple iPhone 13 Pro Max,00:21:21,00:21:21,US (United States)
Dennis,2022-05-16 15:22:39,00:00:02,,Arrested Development: Season 3: The Cabin Show (Episode 1),,Apple iPhone 13 Pro Max,00:00:03,Not latest view,US (United States)
Dennis,2022-05-16 15:18:13,00:04:24,,Arrested Development: Season 2: The Righteous Brothers (Episode 18),,Apple iPhone 13 Pro Max,00:17:24,Not latest view,US (United States)
Dennis,2022-05-15 03:12:14,00:01:35,,Selling Sunset: Season 5: Game Changer (Episode 1),,Chrome PC (Cadmium),00:03:21,00:03:21,US (United States)
Dennis,2022-05-15 03:12:14,00:00:59,,Selling Sunset: Season 5: Game Changer (Episode 1),,Chrome PC (Cadmium),00:02:45,Not latest view,US (United States)
Dennis,2022-05-15 03:10:26,00:01:33,,Bling Empire: Season 2: Diamonds And Deception (Episode 1),,Chrome PC (Cadmium),00:02:58,00:02:58,US (United States)
Dennis,2022-05-14 22:23:45,00:12:07,,Arrested Development: Season 2: The Righteous Brothers (Episode 18),,Apple iPhone 13 Pro Max,00:12:59,Not latest view,US (United States)
Dennis,2022-05-14 22:21:37,00:02:07,,Arrested Development: Season 2: Spring Breakout (Episode 17),,Apple iPhone 13 Pro Max,00:21:31,00:21:31,US (United States)
Dennis,2022-05-14 22:03:27,00:16:50,,Arrested Development: Season 2: Spring Breakout (Episode 17),,Apple iPhone 13 Pro Max,00:19:23,Not latest view,US (United States)
Dennis,2022-05-12 05:37:44,00:02:15,,Arrested Development: Season 2: Spring Breakout (Episode 17),,Apple iPhone 13 Pro Max,00:02:33,Not latest view,US (United States)
Dennis,2022-05-12 05:33:16,00:04:16,,Arrested Development: Season 2: Meat the Veals (Episode 16),,Apple iPhone 13 Pro Max,00:21:26,00:21:26,US (United States)
Dennis,2022-05-12 01:59:57,00:10:02,,Arrested Development: Season 2: Meat the Veals (Episode 16),,Chrome PC (Cadmium),00:17:40,Not latest view,US (United States)
Dennis,2022-05-11 23:46:58,00:06:20,,Arrested Development: Season 2: Meat the Veals (Episode 16),,Apple iPhone 13 Pro Max,00:07:38,Not latest view,US (United States)
Dennis,2022-05-11 22:16:33,00:06:36,,Arrested Development: Season 2: Sword of Destiny (Episode 15),,Apple iPhone 13 Pro Max,00:21:21,00:21:21,US (United States)
Dennis,2022-05-11 19:33:55,00:07:19,,Arrested Development: Season 2: Sword of Destiny (Episode 15),,Apple iPhone 13 Pro Max,00:14:44,Not latest view,US (United States)
Dennis,2022-05-11 15:47:35,00:07:22,,Arrested Development: Season 2: Sword of Destiny (Episode 15),,Apple iPhone 13 Pro Max,00:07:25,Not latest view,US (United States)
Dennis,2022-05-11 15:29:45,00:04:59,,Arrested Development: Season 2: The Immaculate Election (Episode 14),,Apple iPhone 13 Pro Max,00:21:03,00:21:03,US (United States)
Dennis,2022-05-11 03:26:45,00:04:55,,Arrested Development: Season 2: The Immaculate Election (Episode 14),,Chrome PC (Cadmium),00:14:32,Not latest view,US (United States)
Dennis,2022-05-10 22:57:11,00:09:21,,Arrested Development: Season 2: The Immaculate Election (Episode 14),,Apple iPhone 13 Pro Max,00:09:37,Not latest view,US (United States)
Dennis,2022-05-10 22:56:55,00:00:13,,Arrested Development: Season 2: Motherboy XXX (Episode 13),,Apple iPhone 13 Pro Max,00:17:04,00:17:04,US (United States)
Dennis,2022-05-10 18:58:56,00:03:23,,Arrested Development: Season 2: Motherboy XXX (Episode 13),,Chrome PC (Cadmium),00:20:13,Not latest view,US (United States)
Dennis,2022-05-10 18:50:56,00:06:27,,Arrested Development: Season 2: Motherboy XXX (Episode 13),,Apple iPhone 13 Pro Max,00:16:50,Not latest view,US (United States)
Dennis,2022-05-10 18:25:15,00:06:35,,Arrested Development: Season 2: Motherboy XXX (Episode 13),,Apple iPhone 13 Pro Max,00:10:23,Not latest view,US (United States)
Dennis,2022-05-10 18:25:02,00:00:10,,Arrested Development: Season 2: Hand to God (Episode 12),,Apple iPhone 13 Pro Max,00:18:47,00:18:47,US (United States)
Dennis,2022-05-10 03:44:10,00:03:34,,Arrested Development: Season 2: Motherboy XXX (Episode 13),,Chrome PC (Cadmium),00:03:49,Not latest view,US (United States)
Dennis,2022-05-10 03:41:45,00:02:23,,Arrested Development: Season 2: Hand to God (Episode 12),,Chrome PC (Cadmium),00:20:59,Not latest view,US (United States)
Dennis,2022-05-09 22:32:53,00:09:04,,Arrested Development: Season 2: Hand to God (Episode 12),,Apple iPhone 13 Pro Max,00:18:36,Not latest view,US (United States)
Dennis,2022-05-09 22:07:58,00:09:14,,Arrested Development: Season 2: Hand to God (Episode 12),,Apple iPhone 13 Pro Max,00:09:31,Not latest view,US (United States)
